time_ns,sample,mode,a,b,valid_in,clear,acc,sat_flag,fp_flag
1752225,87609,0,127,127,1,0,1412469142,0,0
1756245,87810,0,127,127,1,0,1415711071,0,0
1760245,88010,0,127,127,1,0,1418936871,0,0
1764245,88210,0,127,127,1,0,1422162671,0,0
1768265,88411,0,127,127,1,0,1425404600,0,0
1772265,88611,0,127,127,1,0,1428630400,0,0
1776265,88811,0,127,127,1,0,1431856200,0,0
1780285,89012,0,127,127,1,0,1435098129,0,0
1784285,89212,0,127,127,1,0,1438323929,0,0
1788285,89412,0,127,127,1,0,1441549729,0,0
1792285,89612,0,127,127,1,0,1444775529,0,0
1796305,89813,0,127,127,1,0,1448017458,0,0
1800305,90013,0,127,127,1,0,1451243258,0,0
1804305,90213,0,127,127,1,0,1454469058,0,0
1808325,90414,0,127,127,1,0,1457710987,0,0
1812325,90614,0,127,127,1,0,1460936787,0,0
1816325,90814,0,127,127,1,0,1464162587,0,0
1820325,91014,0,127,127,1,0,1467388387,0,0
1824345,91215,0,127,127,1,0,1470630316,0,0
1828345,91415,0,127,127,1,0,1473856116,0,0
1832345,91615,0,127,127,1,0,1477081916,0,0
1836365,91816,0,127,127,1,0,1480323845,0,0
1840365,92016,0,127,127,1,0,1483549645,0,0
1844365,92216,0,127,127,1,0,1486775445,0,0
1848385,92417,0,127,127,1,0,1490017374,0,0
1852385,92617,0,127,127,1,0,1493243174,0,0
1856385,92817,0,127,127,1,0,1496468974,0,0
1860385,93017,0,127,127,1,0,1499694774,0,0
1864405,93218,0,127,127,1,0,1502936703,0,0
1868405,93418,0,127,127,1,0,1506162503,0,0
1872405,93618,0,127,127,1,0,1509388303,0,0
1876425,93819,0,127,127,1,0,1512630232,0,0
1880425,94019,0,127,127,1,0,1515856032,0,0
1884425,94219,0,127,127,1,0,1519081832,0,0
1888445,94420,0,127,127,1,0,1522323761,0,0
1892445,94620,0,127,127,1,0,1525549561,0,0
1896445,94820,0,127,127,1,0,1528775361,0,0
1900445,95020,0,127,127,1,0,1532001161,0,0
1904465,95221,0,127,127,1,0,1535243090,0,0
1908465,95421,0,127,127,1,0,1538468890,0,0
1912465,95621,0,127,127,1,0,1541694690,0,0
1916485,95822,0,127,127,1,0,1544936619,0,0
1920485,96022,0,127,127,1,0,1548162419,0,0
1924485,96222,0,127,127,1,0,1551388219,0,0
1928485,96422,0,127,127,1,0,1554614019,0,0
1932505,96623,0,127,127,1,0,1557855948,0,0
